idx,query,reference_reply,intent,should_escalate,escalate_reason
642,thanks to your customer service adviser Roshain really helpful and great manor on the phone,Fantastic! I'm so happy to hear you had a good experience with Roshain. Please let us know if you ever need more help! ^FD,general_acknowledgement,False,brand resolved inline (direct answer or probe)
2488,"Hi, I have ordered fans . Unfortunately the product is not upto the mark. Placed refund and return request. Please help urgently",We'd like to help you with this. Please connect our support team here: https://t.co/vlvfJr4nN9.. ^BS,return_refund,False,brand resolved inline (direct answer or probe)
5832,We want not a job we want work at shop for a lady,Please visit the link provided earlier for career opportunity with us. ^YP,product_inquiry,True,brand redirected to private channel / form / phone
2078,Order tracking id is : 216235198560,We're sorry for the trouble. Please contact us here: https://t.co/vlvfJr4nN9 so we could get this sorted.(1/2)^RS,order_status,True,brand redirected to private channel / form / phone
4260,"""We're unable to create a refund. Please contact customer service for further assistance:""","We don't have access into your account through twitter, please reach us by phone or chat here: https://t.co/hApLpMlfHN ^NC",return_refund,True,brand redirected to private channel / form / phone
4489,There was a time when @115821 delivered packages when they said they would. Those times have passed.,This isn't what we like to hear! Are you currently waiting on the delivery of a late order? ^BH,complaint_feedback,True,frustrated complaint benefits from human de-escalation
2894,tracking nos 184120347853 claims to be delivered but I have not signed nor received.,Sorry to know you've not received the package. We certainly did not expect this to happen. 1/3 ^PS,order_status,False,brand resolved inline (direct answer or probe)
3600,"Ohhhh right! Haha thanks, did the trick!",You're welcome! Glad we could help! Reach out again if you have questions in the future. ^JF,general_acknowledgement,True,brand redirected to private channel / form / phone
313,@12379 hello team is this #CutTheCord Challenge still On ?,This contest is closed. ^SH,product_inquiry,False,brand resolved inline (direct answer or probe)
3257,as the item in question is a phone that's a little tricky...,Have you been able to get in touch via the link ^JJ supplied? ^NV,technical_issue,True,brand redirected to private channel / form / phone
3529,"(2) Dear @115850 I also understand that I am not one to you, but you are one to me... hope you understand!!! 😏😏","I understand your concern, Umesh. As per the info shared, I see that the estimated date for the (1/2) ^HD",order_status,False,brand resolved inline (direct answer or probe)
2013,hello amazon my two order is pending and i don't have a received 7042175633,Apologies for the delay. Kindly reach out to our support team here:https://t.co/vlvfJr4nN9 we'll look into it right away.1/2^EM,order_status,True,brand redirected to private channel / form / phone
1122,Slow clap 👏👏👏👏,Kindly get in touch with us here: https://t.co/cLMKwvBRjA and we’ll be glad to help you. ^AG,complaint_feedback,True,brand redirected to private channel / form / phone
4254,do you really provide free spins during Saturdays???🤔🤔🤔🤔,Sorry but I couldn't follow. Could you please rephrase and elaborate? ^HA,product_inquiry,False,brand resolved inline (direct answer or probe)
1622,just bought a levis 511 slimfit jeans from amazon.need to cut length.pls suggest where.,Apparels come in one standard length as per sizes. We advise you to alter it from a convenient source. ^CB,product_inquiry,False,brand resolved inline (direct answer or probe)
3049,"That what you said yesterday when we spoke over the phone, and you re arranged delivery for today.  Today got message again delayed!",Sorry again for the delay.^CD,order_status,False,brand resolved inline (direct answer or probe)
6310,"Someone bought me a gift on Amazon and is having it shipped to my address, and provided me the order number. Can I track it?",Thanks for reaching out to us here. Please contact us via phone or chat so we can look into this: https://t.co/dNXwBZPiM6 ^GG,order_status,True,brand redirected to private channel / form / phone
2210,thank you,You're welcome Nadia. ^NV,general_acknowledgement,False,brand resolved inline (direct answer or probe)
6004,Pickup slot came and went. Nobody turned up :/ Off to work now.,I''m sorry for the delay with the return pick up. Write to us here: https://t.co/GIJyeYqKE0 &amp; we'll get this sorted. ^MJ,return_refund,True,brand redirected to private channel / form / phone
4783,Of course,What have you been advised in the past? ^MC,general_acknowledgement,False,brand resolved inline (direct answer or probe)
1262,"Hi, my order hasn't dispatched yet. I made the order on Monday &amp; it was supposed to dispatch yday and arrive tomorrow. Help?","If it dispatches today, it can still be delivered tomorrow. What delivery speed did you chose at checkout? ^PK",order_status,False,brand resolved inline (direct answer or probe)
4905,Spoke to Alvin on chat and he’s somehow managed to get it redelivered tonight. Props to him! Thanks!,Glad Alvin was able to help! Let us know if you need anything! ^VB,general_acknowledgement,False,brand resolved inline (direct answer or probe)
874,it is 7:22 and my package says today by 8 pm I'm gonna fight,Thanks for reaching out! Please let us know if the order has not arrived by the given time. ^GG,order_status,False,brand resolved inline (direct answer or probe)
479,"#Order canceled by Amazon India, complaint filed against #Amazon",Let me help you out here with a possible solution. Could you please drop your details here: (1/2) ^VM,complaint_feedback,True,brand redirected to private channel / form / phone
5590,"Now Amazon transportation service started making fool 2 customer. B4 delivered the product, updating wrong status.",Sorry to know the package was wrongly scanned as delivered. Kindly report this to our team here: https://t.co/R3EfhzgU8B. ^PS,complaint_feedback,True,brand redirected to private channel / form / phone
2920,#amzl_us is a joke. I am frustrated with all the delivery delays. I am not paying for prime to get delayed deliveries.,I'm sorry for the delays! We'd like to escalate this further. Please send us the order details: https://t.co/2aqitn4JrU ^BH,complaint_feedback,True,brand redirected to private channel / form / phone
3004,"u dont need any tool ,use your eyes and brain nd check the order id frm the screenshot . https://t.co/fZOIm03SZU",on your concern until we receive your details via secured link. Appreciate your understanding. 3/3 ^MJ,complaint_feedback,True,frustrated complaint benefits from human de-escalation
4086,Already wrote them but not heard back yet,We would like to help you. Please share your details with us here: https://t.co/GIJyeYqKE0. We'll get in touch shortly. ^CB,complaint_feedback,True,brand redirected to private channel / form / phone
4723,"hi guys, for some reason this https://t.co/YuohGuFJWi crashes the app on ipad (latest gen) i tried uninstalling, installing","Hello, sorry for that, you can join our customer service via : https://t.co/1thqWtqfOc",technical_issue,True,brand redirected to private channel / form / phone
1666,"GST is the part of MRP, and a retailer or seller cannot sale a product beyond MRP, please go through GST rules","I get your concern. However, mrp is inclusive of all taxes. Appreciate your understanding. ^PS",billing_payment,False,brand resolved inline (direct answer or probe)
