idx,query,intent_true,escalate_true,intent_pred,conf,reply,should_escalate_pred,reason,retrieval_score,neighbor_redirect_fraction
642,thanks to your customer service adviser Roshain really helpful and great manor on the phone,general_acknowledgement,False,general_acknowledgement,0.329,"Great to hear, and thanks for keeping us in the loop! ^Support",False,clear query with a known inline resolution,0.702,0.400
2488,"Hi, I have ordered fans . Unfortunately the product is not upto the mark. Placed refund and return request. Please help urgently",return_refund,False,return_refund,0.334,"Thank you for letting us know about the same. Please be assured we'll sort this out for you. Also, please don't..^Support (1/2)",False,clear query with a known inline resolution,0.554,0.200
5832,We want not a job we want work at shop for a lady,product_inquiry,True,complaint_feedback,0.301,"I'm sorry you're receiving unwanted e-mails! To confirm, which e-mail address are these e-mails coming from? ^Support https://t.co/1XyLaGkcaN",False,clear query with a known inline resolution,0.376,0.000
2078,Order tracking id is : 216235198560,order_status,True,order_status,0.314,I'm sorry for the inconvenience. We'd like to look into it closely. Kindly fill in your details  (1/2)^Support,False,clear query with a known inline resolution,0.817,0.400
4260,"""We're unable to create a refund. Please contact customer service for further assistance:""",return_refund,True,return_refund,0.723,Allow us to take a closer look. Kindly submit your details here: https://t.co/GIJyeYqKE0 and we'll reach out to you. ^Support,False,clear query with a known inline resolution,0.697,0.200
4489,There was a time when @115821 delivered packages when they said they would. Those times have passed.,complaint_feedback,True,order_status,0.679,"I'm so sorry for the delay, Seamus! We want to know more about this. Can you tell us who is shipping the package? ^Support",False,clear query with a known inline resolution,0.761,0.200
2894,tracking nos 184120347853 claims to be delivered but I have not signed nor received.,order_status,False,order_status,0.431,I'm sorry for the inconvenience. We'd like to look into it closely. Kindly fill in your details  (1/2)^Support,False,clear query with a known inline resolution,0.706,0.400
3600,"Ohhhh right! Haha thanks, did the trick!",general_acknowledgement,True,general_acknowledgement,0.304,"We're glad to have helped! Have a great night, let us know if you need anything else! 😁 ^Support",False,clear query with a known inline resolution,0.608,0.200
313,@12379 hello team is this #CutTheCord Challenge still On ?,product_inquiry,False,product_inquiry,0.220,Please drop your details here: https://t.co/fYEHWp6Vn4 so that we can get in touch with you. (2/2) ^Support,True,low intent confidence (0.22),0.528,0.200
3257,as the item in question is a phone that's a little tricky...,technical_issue,True,damage_defective,0.203,Please give us a call here: https://t.co/hApLpMlfHN so we can troubleshoot with you in real-time. ^Support,True,Damaged / defective / wrong item requires private/account details; low intent confidence (0.20),0.621,0.000
3529,"(2) Dear @115850 I also understand that I am not one to you, but you are one to me... hope you understand!!! 😏😏",order_status,False,product_inquiry,0.191,Please use this link to send direct feedback and for the option to discuss this further: https://t.co/4G2ZeLtP7n ^Support,True,low intent confidence (0.19),0.624,0.000
2013,hello amazon my two order is pending and i don't have a received 7042175633,order_status,True,order_status,0.491,We're responding to your query here: https://t.co/lKCh6UP6QQ. ^Support,False,clear query with a known inline resolution,0.694,0.400
1122,Slow clap 👏👏👏👏,complaint_feedback,True,complaint_feedback,0.312,I get your excitement.😉 You should receive your order by the delivery estimate mentioned here: https://t.co/uwYQF6fVr3 ^Support,False,clear query with a known inline resolution,0.404,0.400
4254,do you really provide free spins during Saturdays???🤔🤔🤔🤔,product_inquiry,False,product_inquiry,0.234,We're working on your issue and we'll reach out with an update shortly. ^Support,True,brand typically redirects similar queries (NN redirect 60%); low intent confidence (0.23),0.362,0.600
1622,just bought a levis 511 slimfit jeans from amazon.need to cut length.pls suggest where.,product_inquiry,False,general_acknowledgement,0.214,Apologies for the unpleasant experience. Kindly share your details here: https://t.co/GIJyeYqKE0 and I'll contact you. ^Support,True,brand typically redirects similar queries (NN redirect 60%); low intent confidence (0.21),0.394,0.600
3049,"That what you said yesterday when we spoke over the phone, and you re arranged delivery for today.  Today got message again delayed!",order_status,False,order_status,0.718,Have you reported it to the support team here: https://t.co/TxK11znixD ^Support,False,clear query with a known inline resolution,0.741,0.000
6310,"Someone bought me a gift on Amazon and is having it shipped to my address, and provided me the order number. Can I track it?",order_status,True,order_status,0.418,"Thank you for your feedback, Ashutosh. We will for sure get this forwarded to the concerned team internally. ^Support",False,clear query with a known inline resolution,0.686,0.200
2210,thank you,general_acknowledgement,False,general_acknowledgement,0.746,Kindly wait and we shall connect with you soon. ^Support,False,clear query with a known inline resolution,1.000,0.200
6004,Pickup slot came and went. Nobody turned up :/ Off to work now.,return_refund,True,complaint_feedback,0.169,Can you contact us here: https://t.co/JzP7hlA23B? ^Support,True,brand typically redirects similar queries (NN redirect 60%); low intent confidence (0.17),0.579,0.600
4783,Of course,general_acknowledgement,False,product_inquiry,0.310,I'm sorry about the stretch. You may respond to the email correspondence sent by us. We'll get back with an update. ^Support,False,clear query with a known inline resolution,0.520,0.000
1262,"Hi, my order hasn't dispatched yet. I made the order on Monday &amp; it was supposed to dispatch yday and arrive tomorrow. Help?",order_status,False,order_status,0.755,I'm sorry about the hassle. Please reach out to our support team here: https://t.co/vlvfJr4nN9. We will look into it. ^Support,False,clear query with a known inline resolution,0.786,0.200
4905,Spoke to Alvin on chat and he’s somehow managed to get it redelivered tonight. Props to him! Thanks!,general_acknowledgement,False,general_acknowledgement,0.371,Carriers deliver until 8:00 PM. Keep us updated on the delivery! ^Support,False,clear query with a known inline resolution,0.410,0.000
874,it is 7:22 and my package says today by 8 pm I'm gonna fight,order_status,False,order_status,0.437,I'm very sorry your order has been delayed! Can you tell us who the carrier is for this delivery? ^Support,False,clear query with a known inline resolution,0.631,0.200
479,"#Order canceled by Amazon India, complaint filed against #Amazon",complaint_feedback,True,billing_payment,0.214,"I'm sorry, can you please confirm if you have given your details through the link provided earlier. ^Support",True,Billing / payment requires private/account details; low intent confidence (0.21),0.726,0.200
5590,"Now Amazon transportation service started making fool 2 customer. B4 delivered the product, updating wrong status.",complaint_feedback,True,order_status,0.300,"I'm sorry for the unpleasant experience, Have you reported this to our support team here: https://t.co/vlvfJr4nN9? ^Support",True,low intent confidence (0.30),0.640,0.400
2920,#amzl_us is a joke. I am frustrated with all the delivery delays. I am not paying for prime to get delayed deliveries.,complaint_feedback,True,order_status,0.483,I'm really sorry about the delay! Please phone us here: https://t.co/hApLpMlfHN to discuss the available options. ^Support,False,clear query with a known inline resolution,0.799,0.200
3004,"u dont need any tool ,use your eyes and brain nd check the order id frm the screenshot . https://t.co/fZOIm03SZU",complaint_feedback,True,general_acknowledgement,0.255,I'm glad to hear you're interested in recycling your old Kindle! You can find out more about how to recycle your Kindle device here: https://t.co/cCTIYtCcuS. I hope this helps! ^Support,True,low intent confidence (0.26),0.396,0.000
4086,Already wrote them but not heard back yet,complaint_feedback,True,general_acknowledgement,0.188,I do apologize about the delay! Please let us know if you do not receive the shipment tomorrow! ^Support,True,low intent confidence (0.19),0.462,0.400
4723,"hi guys, for some reason this https://t.co/YuohGuFJWi crashes the app on ipad (latest gen) i tried uninstalling, installing",technical_issue,True,technical_issue,0.618,"Hi June, are you getting a particular error message when this happens? ^Support",False,clear query with a known inline resolution,0.666,0.200
1666,"GST is the part of MRP, and a retailer or seller cannot sale a product beyond MRP, please go through GST rules",billing_payment,False,product_inquiry,0.216,"I understand your concern. As mentioned, we'll only be able to add seller GST number on invoice. ^Support",True,low intent confidence (0.22),0.690,0.400
3356,@AmazonHelp what would I do if there is nothing in parcel when delivery arrived how can I return this type of parcel,return_refund,True,order_status,0.513,"I'm sorry to hear this occurred. We'd be happy to help you with this, please contact us here: https://t.co/JzP7hlA23B ^Support",False,clear query with a known inline resolution,0.797,0.400
1286,"Yeah, sounds like a really good job to make very decent money",general_acknowledgement,False,complaint_feedback,0.316,That's quite a comment. We're sorry for any trouble. Please contact us here: https://t.co/vlvfJr4nN9 so we could assist.^Support,False,clear query with a known inline resolution,0.432,0.200
3372,Joe Girard’s Law of 250 states...,general_acknowledgement,False,product_inquiry,0.257,I’m glad to know that! Happy Shopping! ^Support,True,low intent confidence (0.26); no close historical reply (sim 0.26),0.264,0.200
6168,@115850 I went to Moto service center she's asking 5800/- rupees for glassreplacement but u says it's warranty period please tell me truth,damage_defective,True,damage_defective,0.190,Sorry about this inconvenience. Please share your details here: https://t.co/GIJyeYqKE0 and I'll get in touch with you.^Support,True,Damaged / defective / wrong item requires private/account details; low intent confidence (0.19),0.551,0.400
1866,"No, it says: “expected October 4” and that item left seller facility and is in transit, no more updates.",order_status,False,order_status,0.473,Hm.. That's strange! Please reach out to us here via phone or chat: https://t.co/XJCTLIhKRJ so we can look into this for you. ^Support,False,clear query with a known inline resolution,0.773,0.400
4511,just gt a call frm delivery person regarding where my address is. Yes at 7:58 in the mrning. What a great way to wakeup! #scarcasm,complaint_feedback,True,order_status,0.335,I'm very sorry about the late delivery. I'll share a feedback about this to the concerned team internally for review. ^Support,False,clear query with a known inline resolution,0.555,0.200
1935,The issue is with my Keurig Rivo.,technical_issue,True,damage_defective,0.233,Allow us to take a closer look. Please call us here: https://t.co/vlvfJr4nN9 for live assistance. ^Support,True,Damaged / defective / wrong item requires private/account details; low intent confidence (0.23),0.439,0.200
1546,This isn't good enough I paid for next day delivery your sire says releasing 6th yet now says 1to4 weeks where did it say this on the site,complaint_feedback,True,order_status,0.458,"We can't access your account over Twitter. You can choose to write back to our e-mail, we'll revert. ^Support",False,clear query with a known inline resolution,0.592,0.200
4435,"It’s the app that comes already installed. Can you reinstall it? Sorry, I don’t know anything about Kindles!",technical_issue,True,technical_issue,0.429,Oh no! Please contact in using this link so we can check out what options are available: https://t.co/qy3J24VGxb ^Support,True,brand typically redirects similar queries (NN redirect 60%),0.622,0.600
5180,"Haven't yet, and the item is ""ineligible for return""",return_refund,False,return_refund,0.421,"Was the refund regarding an order? If so, what's the refund status show? You learn more here: https://t.co/hrSA6V3RHo ^Support",False,clear query with a known inline resolution,0.628,0.400
1876,I keep getting the “Problem Occurred” stream is unavoidable prompt when trying to watch TNF Pats v Bucs,technical_issue,False,technical_issue,0.306,Please restart your device and try again in a few minutes. I'm sorry for the inconvenience. ^Support,False,clear query with a known inline resolution,0.702,0.200
